CEDULA;NOMBRE;APELLIDO;FECHANACIMIENTO;SUELDO
1409671516;VICTOR;MORENO;10/10/1989-hora:0:0:0;411.9
1255944686;VICTOR;BLANCO;26/8/1957-hora:0:0:0;317.5
3088425537;SOFIA;NUNEZ;19/8/1977-hora:0:0:0;114.3
1432005856;ROBERTO;RAMIREZ;4/8/1964-hora:0:0:0;405.7
0768396749;ENRIQUE;GUTIERREZ;6/7/1988-hora:0:0:0;61.9
1999533779;ROBERTO;SOUSA;8/5/1976-hora:0:0:0;203.8
0511298937;MIGUEL;JIMENEZ;20/6/1962-hora:0:0:0;508.4
1066147529;VICTORIA;SOUSA;26/7/1963-hora:0:0:0;196.1
3098319639;ENRIQUE;FIGUEROA;18/7/1968-hora:0:0:0;397.3
1706778311;JAVIER;MOLINA;5/3/1958-hora:0:0:0;142.7
2151098650;ALEJANDRO;COSTA;22/12/2001-hora:0:0:0;127.8
2425058589;JAVIER;ROJAS;6/12/1975-hora:0:0:0;173.8
0181702028;EVA;VARGAS;22/4/1990-hora:0:0:0;164.9
1179908684;CAROLINA;PEREZ;15/10/2002-hora:0:0:0;330
0330437872;FRANCISCO;FERREIRA;19/7/1978-hora:0:0:0;221.6
1380346815;GABRIEL;AGUILAR;21/4/1988-hora:0:0:0;151
0375149978;MANUEL;MORENO;14/10/1987-hora:0:0:0;207
2219923568;EVA;ROJAS;28/9/1959-hora:0:0:0;377.6
0110174638;SOFIA;MARTIN;25/3/1966-hora:0:0:0;499.7
2358818017;JOSE;NUNEZ;8/5/2004-hora:0:0:0;326.7
1137283642;ELISA;SILVA;6/12/2001-hora:0:0:0;463.2
0862944170;MARIA;RODRIGUEZ;28/5/1971-hora:0:0:0;315
0921948600;EUGENIA;SUAREZ;15/5/2007-hora:0:0:0;93
2087234197;FRANCISCO;FERNANDEZ;28/7/1966-hora:0:0:0;270.9
1194920615;JOSE;JIMENEZ;5/4/1979-hora:0:0:0;51
0302093257;LORENA;CORTEZ;10/3/1997-hora:0:0:0;278.6
1158601623;DIEGO;FERREIRA;9/12/2008-hora:0:0:0;308.1
0379533094;FEDERICO;FERREIRA;18/10/1963-hora:0:0:0;264
2200555403;PAULA;MARTINEZ;3/10/2004-hora:0:0:0;256.4
0975657164;ELISA;BUSTAMANTE;1/8/1968-hora:0:0:0;279.8
1724570609;MARTA;LARA;2/7/2007-hora:0:0:0;130.2
2132453750;FELIPE;OLIVEIRA;17/12/2009-hora:0:0:0;100.9
0306352170;LAURA;MARTINEZ;5/1/1966-hora:0:0:0;540.9
1554789840;SOFIA;SANTOS;6/5/1984-hora:0:0:0;319.6
2035594346;MARIA TERESA;VARGAS;1/12/1992-hora:0:0:0;73.9
0499226330;PATRICIA;PINTO;12/9/1959-hora:0:0:0;79.6
2487449528;MARIA TERESA;SUAREZ;26/3/1985-hora:0:0:0;467.2
0941562522;FERNANDO;RAMIREZ;3/6/1959-hora:0:0:0;369.5
1517041933;LUIS;MORENO;17/1/1970-hora:0:0:0;228.5
0415761766;ANA;PINTO;11/4/1981-hora:0:0:0;240.5
1846025243;JUAN;NUNEZ;18/12/1979-hora:0:0:0;525.6
1044736039;ROSA;GOMEZ;27/5/1966-hora:0:0:0;528.2
0484320775;FELIPE;CHAVEZ;22/4/1979-hora:0:0:0;320.7
0592415954;ANDRES;ORTEGA;20/6/1997-hora:0:0:0;228.1
2171271477;JOSE;FERNANDEZ;20/1/1968-hora:0:0:0;263
0329627236;ALEJANDRO;OLIVEIRA;25/2/2003-hora:0:0:0;151.7
0698132123;CAROLINA;MOLINA;22/12/1986-hora:0:0:0;239.6
0949934327;ANA;PINTO;10/12/1967-hora:0:0:0;295.6
1893627222;JOSE;CHAVEZ;26/8/1990-hora:0:0:0;490.3
1109219699;ANDRES;LOPEZ;21/9/2004-hora:0:0:0;276.5
