CEDULA;NOMBRE;APELLIDO;FECHANACIMIENTO;SUELDO
1212027963;CARLOS;BUSTAMANTE;11/11/1955-hora:0:0:0;56.4
1773528433;MONICA;HERNANDEZ;14/7/1961-hora:0:0:0;200
1105046468;VICTOR;RODRIGUES;19/12/1977-hora:0:0:0;441.9
1690222847;ELENA;SILVA;28/12/1976-hora:0:0:0;125.4
2312195304;ALEJANDRO;CORTEZ;24/9/1999-hora:0:0:0;517.4
1793099852;ROCIO;PEREZ;18/10/2005-hora:0:0:0;74.6
2182999454;ROSA;GONZALEZ;17/3/1999-hora:0:0:0;512.4
0766941223;MIGUEL;VARGAS;18/1/1995-hora:0:0:0;290.5
0498703123;FERNANDO;FERREIRA;24/8/1956-hora:0:0:0;284.3
2478111459;EUGENIA;DIAZ;4/2/1999-hora:0:0:0;417.5
1656438098;BEATRIZ;GOMEZ;6/10/1977-hora:0:0:0;513.3
1966503888;ANDRES;AGUILAR;13/5/1960-hora:0:0:0;449.4
0856660816;ANDRES;MIRANDA;20/7/1980-hora:0:0:0;491.7
1921414247;ELENA;SOTO;12/3/2004-hora:0:0:0;195.4
2407183140;JUAN;RODRIGUES;8/11/2001-hora:0:0:0;456.4
0888764198;ROBERTO;GOMEZ;5/10/1990-hora:0:0:0;110.8
0306549007;FERNANDO;ROMERO;21/10/1999-hora:0:0:0;335.4
3041218730;LORENA;SILVA;6/12/1953-hora:0:0:0;441.2
3061473066;JAVIER;LARA;4/8/1993-hora:0:0:0;406.7
2264975943;JUAN;SILVA;3/5/1993-hora:0:0:0;473.9
0521334516;MIGUEL;JIMENEZ;9/6/1957-hora:0:0:0;260.6
0946407236;BEATRIZ;RODRIGUES;22/7/1965-hora:0:0:0;396.9
0357432889;MARIA;FERNANDEZ;25/10/1953-hora:0:0:0;493.2
1736944339;LUIS;ORTEGA;24/5/1972-hora:0:0:0;51.5
1550424772;ISABEL;MENDOZA;20/2/2006-hora:0:0:0;412
0980763155;FEDERICO;CORTEZ;10/3/1963-hora:0:0:0;267.2
1725278137;BEATRIZ;ROJAS;9/8/1981-hora:0:0:0;245.9
1177740253;GUILLERMO;MORENO;7/2/1999-hora:0:0:0;491.6
1862077847;CAROLINA;LARA;13/1/1979-hora:0:0:0;355.4
2318301971;FELIPE;ORTEGA;20/4/1954-hora:0:0:0;458.9
1777505882;ANA;SANCHEZ;18/4/1985-hora:0:0:0;541.1
2399402532;LOURDES;MIRANDA;28/9/1960-hora:0:0:0;180.6
0184948685;JORGE;NUNEZ;20/5/1972-hora:0:0:0;240.4
0716342498;CAROLINA;MIRANDA;23/7/1995-hora:0:0:0;260.9
0140660390;ANTONIO;CASTRO;25/11/2003-hora:0:0:0;364.5
0469233191;VICTOR;VEGA;10/3/1959-hora:0:0:0;392.8
1441984372;MARIA;BLANCO;12/5/1998-hora:0:0:0;287.1
1652712512;EUGENIA;TORRES;21/1/1971-hora:0:0:0;187.9
2199976263;ANTONIO;ROJAS;14/3/1965-hora:0:0:0;523
2099779668;JAVIER;SANCHEZ;19/9/1951-hora:0:0:0;320.3
0847139763;MARIA TERESA;VARGAS;1/4/2009-hora:0:0:0;322
0339440950;CAROLINA;SUAREZ;28/10/1968-hora:0:0:0;471
1627818493;FERNANDO;FERREIRA;25/3/1985-hora:0:0:0;449.5
0586512675;PAULA;TORRES;20/8/1993-hora:0:0:0;95.1
3082104245;CARLOS;LARA;25/11/2001-hora:0:0:0;530.1
1876029487;MIGUEL;NUNEZ;27/1/1999-hora:0:0:0;60.3
0852116409;ENRIQUE;RAMIREZ;5/11/1967-hora:0:0:0;234.1
1041576032;GABRIEL;DIAZ;13/12/1995-hora:0:0:0;307.4
2080014943;PAULA;RODRIGUES;1/10/1975-hora:0:0:0;140.1
0267315026;LOURDES;BUSTAMANTE;20/8/1978-hora:0:0:0;103.9
0776183741;LOURDES;AGUILAR;2/2/1992-hora:0:0:0;248.1
0376376711;ELISA;ORTEGA;12/10/1964-hora:0:0:0;347.8
1836793743;ELENA;NUNEZ;26/7/1955-hora:0:0:0;442.6
3083525448;ROBERTO;FIGUEROA;14/11/2005-hora:0:0:0;483.5
1516216858;MARTA;CRUZ;22/6/1975-hora:0:0:0;101.5
2320313329;ANDRES;FIGUEROA;7/1/1977-hora:0:0:0;413.7
2297697225;LOURDES;GUTIERREZ;11/4/1962-hora:0:0:0;410.4
0747018273;JOSE;VEGA;6/8/1994-hora:0:0:0;229.7
0788362960;PATRICIA;FIGUEROA;25/1/1978-hora:0:0:0;318.5
1453599050;ARMANDO;FERRER;5/3/2003-hora:0:0:0;108.5
1955198278;FERNANDO;CHAVEZ;16/8/1995-hora:0:0:0;526.9
1686698281;FRANCISCO;AGUILAR;20/2/1951-hora:0:0:0;99.6
0444423982;BEATRIZ;CHAVEZ;23/8/1996-hora:0:0:0;105.2
0139004089;PAULA;COSTA;16/10/1960-hora:0:0:0;383.1
1925519876;GUILLERMO;GOMEZ;10/7/1979-hora:0:0:0;288.1
1809055393;MARIA;GARCIA;26/12/1969-hora:0:0:0;257.3
1413920420;EVA;BUSTAMANTE;6/1/1987-hora:0:0:0;236.7
1953448600;PAULA;LIMA;1/11/1970-hora:0:0:0;124.2
1522053311;EVA;MARTINEZ;8/8/1996-hora:0:0:0;73.4
0512388638;FEDERICO;SANCHEZ;13/1/1994-hora:0:0:0;331.8
1465086070;PATRICIA;BUSTAMANTE;23/7/1988-hora:0:0:0;368.1
