CEDULA;FECHA/HORAENTRADA;FECHA/HORASALIDA;CONTADORREGISTRO
0323655142;06/05/2022-hora:18:57:59;0/0/0-hora:0:0:0;0
0747018273;28/07/2021-hora:04:38:00;10/01/2020-hora:12:46:36;1
1948616303;07/06/2020-hora:22:10:22;0/0/0-hora:0:0:0;0
2089818864;22/07/2021-hora:13:49:59;0/0/0-hora:0:0:0;0
0632736831;04/11/2021-hora:04:39:12;0/0/0-hora:0:0:0;0
1109338317;23/12/2020-hora:21:12:58;0/0/0-hora:0:0:0;0
1064134008;23/05/2022-hora:04:58:34;06/07/2020-hora:20:23:14;1
0269508834;15/03/2020-hora:00:09:41;07/07/2020-hora:05:13:51;1
2164149425;01/12/2022-hora:17:00:00;0/0/0-hora:0:0:0;0
0672452661;01/05/2020-hora:16:30:13;0/0/0-hora:0:0:0;0
0267315026;24/08/2020-hora:11:20:00;16/10/2021-hora:23:31:36;1
0890555873;17/04/2020-hora:09:11:16;0/0/0-hora:0:0:0;0
1621045754;06/07/2022-hora:13:22:21;0/0/0-hora:0:0:0;0
2374010037;10/12/2020-hora:18:43:57;07/05/2021-hora:14:42:00;1
1152368740;02/02/2020-hora:04:43:19;21/06/2022-hora:09:58:41;1
2278616608;23/02/2021-hora:06:11:53;0/0/0-hora:0:0:0;0
0340400662;05/02/2020-hora:21:01:17;0/0/0-hora:0:0:0;0
1268705918;22/07/2021-hora:05:22:25;15/11/2020-hora:09:43:25;1
2374010037;10/04/2021-hora:09:58:53;0/0/0-hora:0:0:0;0
0835079682;13/10/2022-hora:13:49:38;15/12/2022-hora:07:22:27;1
1603799329;20/07/2021-hora:21:27:47;10/08/2021-hora:10:11:31;1
2190487799;10/05/2020-hora:17:08:22;0/0/0-hora:0:0:0;0
1689650057;24/06/2022-hora:20:27:43;0/0/0-hora:0:0:0;0
2466116072;10/03/2021-hora:23:33:45;0/0/0-hora:0:0:0;0
2331571345;04/06/2020-hora:00:49:42;0/0/0-hora:0:0:0;0
0278063698;12/12/2021-hora:08:28:23;06/07/2022-hora:11:25:28;1
0184948685;24/12/2020-hora:01:26:52;02/12/2021-hora:01:35:19;1
0485431084;19/01/2022-hora:13:00:34;0/0/0-hora:0:0:0;0
0874184815;17/05/2022-hora:05:50:14;12/03/2020-hora:01:52:28;1
1254173733;08/07/2020-hora:10:15:39;0/0/0-hora:0:0:0;0
2032070084;28/08/2022-hora:13:27:05;25/10/2020-hora:15:55:12;1
0677040792;27/10/2022-hora:04:03:51;0/0/0-hora:0:0:0;0
0283243863;11/12/2022-hora:15:36:27;10/09/2021-hora:23:31:30;1
2361056696;10/01/2020-hora:09:43:47;0/0/0-hora:0:0:0;0
2307937934;12/04/2021-hora:22:47:22;0/0/0-hora:0:0:0;0
1000635241;16/05/2021-hora:02:29:20;0/0/0-hora:0:0:0;0
1001325586;15/06/2021-hora:06:31:18;0/0/0-hora:0:0:0;0
1929217907;24/06/2022-hora:14:07:17;14/12/2021-hora:13:16:19;1
0764941597;15/08/2022-hora:22:38:51;0/0/0-hora:0:0:0;0
0679316869;01/05/2020-hora:05:22:30;28/01/2022-hora:14:02:15;1
1232173326;08/09/2021-hora:08:26:10;0/0/0-hora:0:0:0;0
1004482418;19/11/2021-hora:10:42:03;26/05/2021-hora:18:27:53;1
1021296874;06/12/2021-hora:06:50:11;07/02/2022-hora:21:54:19;1
1800123539;16/08/2020-hora:09:29:23;0/0/0-hora:0:0:0;0
1702052414;27/09/2022-hora:06:20:13;0/0/0-hora:0:0:0;0
1615395819;06/06/2022-hora:02:24:51;0/0/0-hora:0:0:0;0
1667407710;17/10/2022-hora:19:32:53;27/08/2021-hora:05:04:59;1
2458660921;02/11/2020-hora:03:50:02;28/10/2022-hora:18:20:28;1
1736944339;10/07/2021-hora:08:07:15;11/10/2022-hora:00:27:25;1
2362468262;19/09/2020-hora:19:33:16;11/10/2020-hora:07:17:38;1
0672452661;03/10/2020-hora:21:25:39;23/12/2020-hora:03:53:47;1
1769224088;27/11/2021-hora:08:24:46;0/0/0-hora:0:0:0;0
1229076433;15/01/2022-hora:00:26:26;0/0/0-hora:0:0:0;0
