CEDULA;FECHA/HORAENTRADA;FECHA/HORASALIDA;CONTADORREGISTRO
1517041933;07/03/2022-hora:00:19:43;15/10/2021-hora:03:17:55;1
1109219699;05/07/2020-hora:17:23:25;0/0/0-hora:0:0:0;0
1432005856;24/04/2021-hora:13:11:22;0/0/0-hora:0:0:0;0
1706778311;19/11/2021-hora:08:08:11;03/08/2020-hora:21:52:01;1
0415761766;05/02/2022-hora:05:34:07;11/07/2020-hora:22:22:56;1
2487449528;21/11/2020-hora:04:16:57;16/05/2022-hora:01:06:44;1
2358818017;01/11/2021-hora:02:53:45;0/0/0-hora:0:0:0;0
1380346815;22/02/2020-hora:15:29:45;15/06/2021-hora:05:10:53;1
1893627222;20/12/2021-hora:22:37:22;12/04/2022-hora:18:27:44;1
1158601623;07/01/2022-hora:11:40:48;20/10/2022-hora:22:54:26;1
1255944686;14/10/2022-hora:05:51:16;28/02/2022-hora:04:27:29;1
1432005856;11/12/2022-hora:00:35:15;27/10/2020-hora:22:59:47;1
1409671516;09/03/2020-hora:13:49:56;0/0/0-hora:0:0:0;0
1380346815;12/07/2022-hora:00:09:59;0/0/0-hora:0:0:0;0
0511298937;02/08/2020-hora:06:13:21;0/0/0-hora:0:0:0;0
1109219699;27/12/2021-hora:12:28:25;0/0/0-hora:0:0:0;0
1432005856;26/08/2020-hora:04:00:17;0/0/0-hora:0:0:0;0
1554789840;20/12/2022-hora:18:12:26;08/05/2021-hora:21:36:49;1
1158601623;26/02/2022-hora:10:22:02;08/03/2021-hora:16:32:13;1
0768396749;08/08/2021-hora:05:36:59;0/0/0-hora:0:0:0;0
1179908684;13/06/2020-hora:08:17:03;05/06/2020-hora:15:48:10;1
1706778311;23/05/2022-hora:13:35:15;0/0/0-hora:0:0:0;0
0302093257;11/12/2022-hora:06:32:12;0/0/0-hora:0:0:0;0
2200555403;10/01/2021-hora:03:18:39;26/06/2022-hora:16:17:56;1
1380346815;04/12/2021-hora:19:34:53;03/11/2022-hora:05:54:31;1
1554789840;08/09/2020-hora:20:34:21;0/0/0-hora:0:0:0;0
0484320775;15/05/2020-hora:16:57:05;04/06/2021-hora:01:29:38;1
2132453750;04/06/2021-hora:18:41:01;0/0/0-hora:0:0:0;0
0110174638;13/06/2020-hora:11:31:27;0/0/0-hora:0:0:0;0
1517041933;18/02/2020-hora:06:57:31;0/0/0-hora:0:0:0;0
0511298937;10/04/2021-hora:15:39:58;05/10/2020-hora:08:29:02;1
1044736039;23/07/2020-hora:04:28:34;0/0/0-hora:0:0:0;0
0592415954;15/01/2021-hora:01:22:15;15/07/2020-hora:15:00:16;1
0499226330;14/05/2022-hora:13:41:39;02/11/2021-hora:15:26:34;1
1179908684;03/06/2021-hora:10:22:27;01/01/2021-hora:23:54:04;1
0484320775;09/03/2022-hora:15:21:05;01/11/2020-hora:00:39:25;1
2171271477;28/09/2022-hora:19:37:12;0/0/0-hora:0:0:0;0
1179908684;28/12/2020-hora:07:05:41;0/0/0-hora:0:0:0;0
0110174638;17/06/2022-hora:18:12:49;0/0/0-hora:0:0:0;0
2087234197;02/12/2022-hora:18:05:03;0/0/0-hora:0:0:0;0
0330437872;15/03/2021-hora:18:07:34;04/06/2021-hora:23:40:04;1
0484320775;24/11/2022-hora:09:58:18;07/06/2022-hora:05:59:34;1
1109219699;01/05/2022-hora:19:08:46;28/07/2022-hora:17:45:44;1
2087234197;17/03/2020-hora:18:33:07;0/0/0-hora:0:0:0;0
0511298937;23/02/2020-hora:19:41:50;12/01/2020-hora:01:28:40;1
1706778311;26/06/2021-hora:17:45:35;14/09/2021-hora:14:38:36;1
2087234197;27/05/2022-hora:01:13:28;25/12/2021-hora:15:21:16;1
1137283642;21/10/2021-hora:15:05:28;13/05/2021-hora:06:51:46;1
1409671516;10/07/2020-hora:06:49:45;27/06/2022-hora:11:29:33;1
0975657164;11/04/2021-hora:00:29:36;0/0/0-hora:0:0:0;0
